MSW05_Order	MSW05_Family	MSW05_Binomial	AdultBodyMass_g	AdultHeadBodyLen_mm	AgeatFirstBirth_d	BasalMetRate_mLO2hr	BasalMetRateMass_g	DietBreadth	GestationLen_d	HabitatBreadth	HomeRange_km2	InterbirthInterval_d	LitterSize	LittersPerYear	MaxLongevity_m	NeonateBodyMass_g	NeonateHeadBodyLen_mm	PopulationDensity_n_km2	PopulationGrpSize	SexualMaturityAge_d	SocialGrpSize	Terrestriality	TrophicLevel	WeaningAge_d	WeaningBodyMass_g	WeaningHeadBodyLen_mm	GR_Area_km2	GR_MaxLat_dd	GR_MinLat_dd	GR_MidRangeLat_dd	GR_MaxLong_dd	GR_MinLong_dd	GR_MidRangeLong_dd	HuPopDen_Min_n_km2	HuPopDen_Mean_n_km2	HuPopDen_Change	Precip_Mean_mm	Temp_Mean_01degC	AET_Mean_mm	PET_Mean_mm
Rodentia	Echimyidae	Hoplomys_gymnurus	281.42	NA	NA	NA	NA	2	59.99	2	NA	NA	2.1	NA	NA	24.39	NA	NA	NA	NA	1	1	1	20.88	NA	NA	404762.49	16.02	-3.24	6.39	-76.23	-86.33	-81.28	2	44.15	0.14	225.35	239.29	1366.94	1635.13
Carnivora	Hyaenidae	Hyaena_brunnea	42977.93	1198.21	1095	NA	NA	6	95.8	2	67.3	532.29	2.3	NA	204	693.09	NA	0.01	NA	807.23	NA	1	2	302.44	27399.99	NA	1981470.71	-14.8	-33.79	-24.3	33.06	11.71	22.39	0	12.77	0.1	34.35	186.6	498.41	1305.79
Carnivora	Hyaenidae	Hyaena_hyaena	35070.51	1104.7	NA	4582.8	26800	6	90.5	1	45.19	237.25	2.44	NA	288	653.23	NA	NA	NA	928.08	NA	1	2	118.93	NA	NA	24254343.2	42.12	-8.24	16.93	86.4	-17.1	34.64	0	56.87	0.11	29.52	228.97	346.34	1366.48
Rodentia	Muridae	Hybomys_badius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15939.64	6.72	5.09	5.91	10.81	9.83	10.32	38	84.52	0.08	182.01	218.66	1207.69	1487.46
Rodentia	Muridae	Hybomys_basilii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1953.16	3.78	3.2	3.49	8.93	8.42	8.68	10	37.65	0.15	NA	NA	NA	NA
Rodentia	Muridae	Hybomys_lunaris	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	281862.7	1.94	-4.19	-1.12	30.73	25.55	28.14	1	53.35	0.17	127	221.53	1467.31	1574.46
Rodentia	Muridae	Hybomys_planifrons	49.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	123523.72	10.16	4.82	7.49	-7.05	-12.89	-9.97	3	36.1	3.41E-03	230.62	248.06	1261.47	1524.72
Rodentia	Muridae	Hybomys_trivirgatus	60.08	121.72	NA	NA	NA	NA	NA	NA	NA	NA	2.72	NA	NA	NA	NA	80.6	NA	NA	NA	NA	NA	NA	NA	NA	362389.12	9.18	4.73	6.96	6.7	-12.68	-2.99	3	116.9	0.11	163.61	256.65	1302.26	1576.29
Rodentia	Muridae	Hybomys_univittatus	54.46	NA	NA	NA	NA	NA	30	2	2.10E-03	NA	2.3	NA	NA	4.4	NA	NA	NA	71.43	NA	1	NA	NA	NA	NA	2497651.36	6.28	-11.81	-2.76	33.56	7.08	20.32	0	30.66	0.13	146.1	240.37	1368.75	1553.11
Carnivora	Mustelidae	Hydrictis_maculicollis	4180.53	594.08	NA	NA	NA	1	59.6	2	NA	365	2	NA	NA	NA	NA	NA	NA	841.82	NA	1	3	60.48	NA	NA	11363947.46	17.5	-33.77	-8.13	40.03	-13.29	13.37	0	37.8	0.13	106.5	237.71	1032.54	1534.3
Rodentia	Caviidae	Hydrochoerus_hydrochaeris	48144.91	1208.39	NA	6596.25	26385	5	150.73	3	0.07	NA	3.49	1	144	1500	NA	125.34	NA	566.36	10	2	1	109.75	NA	NA	12726191.09	10.4	-38.73	-14.16	-34.79	-77.79	-56.29	0	20.76	0.11	146.92	237.3	1270.54	1489.67
Rodentia	Caviidae	Hydrochoerus_isthmius	21267.32	NA	NA	NA	NA	NA	108.21	NA	NA	NA	4.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	112	NA	NA	307442.57	11.7	1.48	6.59	-70.52	-80.04	-75.28	2	71.65	0.11	165.58	249.07	1459.36	1685.82
Sirenia	Dugongidae	Hydrodamalis_gigas	4000000	7628.12	NA	NA	NA	NA	365	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rodentia	Muridae	Hydromys_chrysogaster	626.17	275.52	158	528.3	900	2	36.6	3	NA	60.83	3.51	2.5	74	25	85.62	NA	NA	124.43	NA	1	3	30	150	280	3891043.27	-0.62	-43.64	-22.13	153.63	113.05	133.34	0	7.04	0.06	79.1	210.11	705.03	1418.37
Rodentia	Muridae	Hydromys_habbema	NA	144.47	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	345.8	-4.14	-4.45	-4.29	138.68	138.57	138.63	7	7	0.16	170	137	1680	1680
Rodentia	Muridae	Hydromys_hussoni	NA	151.75	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	717.32	-3.56	-4.09	-3.82	143.2	136.27	139.74	2	4.66	0.06	204.33	221.33	1738.65	1849.28
Rodentia	Muridae	Hydromys_neobritannicus	NA	292.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35567.2	-4.13	-6.3	-5.22	152.4	148.3	150.35	8	10.53	0.24	217.69	253.85	NA	NA
Rodentia	Muridae	Hydromys_shawmayeri	NA	131.61	NA	NA	NA	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA	NA	NA	47925.94	-5.2	-9.19	-7.19	148.37	144.47	146.42	2	13.52	0.08	289.97	182.72	1660.19	1672.92
Artiodactyla	Cervidae	Hydropotes_inermis	12760.04	NA	NA	NA	NA	NA	175.49	NA	NA	NA	3	NA	144	1016.19	NA	NA	NA	292.63	NA	NA	NA	NA	NA	NA	1140413.15	34.93	22.89	28.91	122.13	106.81	114.47	63	373.91	0.06	112.88	159.82	1031.61	1072.99
Carnivora	Phocidae	Hydrurga_leptonyx	352675.48	3038.33	NA	NA	NA	6	272.79	2	NA	365	0.96	NA	312	29999.99	NA	0.11	NA	1389.01	NA	1	2	30.41	52308.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Artiodactyla	Tragulidae	Hyemoschus_aquaticus	10850	750	NA	NA	NA	1	173.52	1	0.2	NA	1.22	1	168	NA	NA	15.85	NA	314.64	1	1	1	136.87	NA	NA	2571576.3	8.56	-6.35	1.1	31.51	-13.19	9.15	0	39.67	0.11	155.16	243.43	1393.52	1563.37
Didelphimorphia	Didelphidae	Hyladelphys_kalinowskii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Primates	Hylobatidae	Hylobates_agilis	5829.08	544	NA	NA	NA	4	NA	NA	0.19	NA	1.02	NA	528	NA	NA	11.73	NA	NA	4.2	NA	2	NA	NA	NA	140009.66	6.27	-5.94	0.16	105.36	99.08	102.22	17	95.23	0.15	239.8	254.16	1743.64	1792.01
Primates	Hylobatidae	Hylobates_albibarbis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	159603.65	0.29	-3.57	-1.63	114.12	109.76	111.94	6	16.2	0.1	243.75	258.84	1686.4	1724.39
Primates	Hylobatidae	Hylobates_klossii	5822.29	512.79	NA	NA	NA	3	207.59	1	0.14	NA	1.01	0.42	NA	NA	NA	16.62	NA	NA	3	2	2	NA	NA	NA	6044.85	-0.91	-3.34	-2.13	100.47	98.58	99.52	43	55.33	0.11	340	259	NA	NA
Primates	Hylobatidae	Hylobates_lar	5578.61	545	3398.15	NA	NA	4	212.91	NA	0.32	983.67	1.01	NA	480	398.86	NA	6.6	NA	3852.57	3.2	NA	2	725.86	1025.02	NA	425651.78	25.5	1.87	13.68	103.77	95.49	99.63	3	90.44	0.08	172.74	229.63	1278.1	1612.26
Carnivora	Herpestidae	Herpestes_vitticollis	2380	476.76	NA	NA	NA	NA	NA	1	NA	NA	2.73	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	197229	15.02	5.91	10.47	81.88	74.69	78.28	68	377.61	0.06	129.65	258.43	1109.68	1606.98
Chiroptera	Vespertilionidae	Hesperoptenus_blanfordi	6.91	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	457426.59	18.74	1.26	10	119.26	96.92	108.09	3	114.13	0.13	221.88	249.83	1443.87	1773.76
Rodentia	Heteromyidae	Heteromys_gaumeri	63.59	115.35	NA	NA	NA	2	NA	1	NA	NA	2.95	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	168039.08	21.6	16.88	19.24	-86.73	-91.74	-89.23	3	22.06	0.23	107.19	253.12	1276.91	1566.89
Rodentia	Heteromyidae	Heteromys_nelsoni	67.55	157.62	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1561.5	15.59	15.03	15.31	-92.19	-92.49	-92.34	53	87.54	0.07	134.07	217.44	1462	1720
Rodentia	Heteromyidae	Heteromys_oasicus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rodentia	Heteromyidae	Heteromys_oresterus	74.8	110.04	NA	NA	NA	2	NA	1	NA	NA	3.41	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1335.88	9.8	9.4	9.6	-83.57	-84.01	-83.79	48	193.92	0.14	215.68	193.34	1484	1755
Rodentia	Heteromyidae	Heteromys_teleus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rodentia	Chinchillidae	Lagostomus_crassus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chiroptera	Phyllostomidae	Lampronycteris_brachyotis	10.39	NA	NA	NA	NA	2	NA	1	NA	NA	0.98	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	4953546.05	17.72	-9.19	4.26	-46.41	-95.29	-70.85	0	23.08	0.12	167.21	247.8	1438.75	1645.14
Rodentia	Sciuridae	Lariscus_hosei	180	182.5	NA	NA	NA	NA	NA	1	NA	NA	1.94	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	34178.18	6.27	3.1	4.68	117.29	114.03	115.66	2	14.85	0.25	276.34	227.26	1774.95	1831.92
Rodentia	Sciuridae	Lariscus_insignis	174.41	177.16	NA	NA	NA	2	NA	1	8.11E-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1341081.13	7.25	-8.78	-0.76	117.63	95.18	106.41	1	163.83	0.13	237.12	248.13	1663.7	1732.35
Rodentia	Sciuridae	Lariscus_niobe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	559126.82	5.65	-8.78	-1.56	114.6	95.18	104.89	20	288.08	0.11	221.26	250.82	1645.26	1752.83
Rodentia	Sciuridae	Lariscus_obscurus	241.19	187	NA	NA	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	6044.85	-0.91	-3.34	-2.13	100.47	98.58	99.52	43	55.33	0.11	340	259	NA	NA
Chiroptera	Vespertilionidae	Lasionycteris_noctivagans	11.02	NA	NA	NA	NA	1	53.55	1	NA	NA	1.77	1	144	1.92	41.69	NA	NA	154.68	1.33	2	3	35.99	10.1	NA	10115944.09	62.97	23.46	43.21	-60.96	-148.48	-104.72	0	28.14	0.05	58.16	77.97	539.66	766.07
Chiroptera	Vespertilionidae	Lasiurus_borealis	12.33	NA	NA	17.44	12.2	1	84.21	1	NA	NA	3.12	1	NA	4.29	23.77	NA	NA	NA	1	2	3	38	5.84	NA	2598559.1	47.84	24.94	36.39	-60.96	-93.4	-77.18	0	80.18	0.04	87.53	119.77	790.22	874.07
