MSW05_Order	MSW05_Family	MSW05_Binomial	AdultBodyMass_g	AdultHeadBodyLen_mm	AgeatFirstBirth_d	BasalMetRate_mLO2hr	BasalMetRateMass_g	DietBreadth	GestationLen_d	HabitatBreadth	HomeRange_km2	InterbirthInterval_d	LitterSize	LittersPerYear	MaxLongevity_m	NeonateBodyMass_g	NeonateHeadBodyLen_mm	PopulationDensity_n_km2	PopulationGrpSize	SexualMaturityAge_d	SocialGrpSize	Terrestriality	TrophicLevel	WeaningAge_d	WeaningBodyMass_g	WeaningHeadBodyLen_mm	GR_Area_km2	GR_MaxLat_dd	GR_MinLat_dd	GR_MidRangeLat_dd	GR_MaxLong_dd	GR_MinLong_dd	GR_MidRangeLong_dd	HuPopDen_Min_n_km2	HuPopDen_Mean_n_km2	HuPopDen_Change	Precip_Mean_mm	Temp_Mean_01degC	AET_Mean_mm	PET_Mean_mm
Artiodactyla	Camelidae	Camelus_dromedarius	492714.47	NA	1651.62	40293	407000	3	386.51	1	196.32	614.41	0.98	1	480	36751.19	NA	0.98	11	1947.94	10	1	1	389.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carnivora	Canidae	Canis_adustus	10392.49	745.32	NA	NA	NA	6	65	1	1.01	NA	4.5	NA	137	NA	NA	0.74	NA	249.88	NA	1	2	52.89	NA	NA	10581413.14	16.72	-28.73	-6	43.55	-17.53	13	0	35.2	0.14	90.75	236.51	922.9	1534.4
Carnivora	Canidae	Canis_aureus	9658.7	827.53	NA	NA	NA	6	61.24	1	2.95	365	3.74	NA	192	211.82	NA	0.22	NA	371.23	NA	1	2	61.3	NA	NA	25739527.43	47	-4.71	21.14	108.54	-17.05	45.74	0	79.29	0.1	44.61	217.23	438.02	1358.98
Carnivora	Canidae	Canis_latrans	11989.1	872.39	365	3699	10450	1	61.74	1	18.88	365	5.72	NA	262	200.01	NA	0.25	NA	372.9	NA	1	3	43.71	NA	NA	17099094.3	71.39	8.02	39.7	-67.07	-168.12	-117.6	0	27.27	0.06	53.03	58.18	503.02	728.37
Carnivora	Canidae	Canis_lupus	31756.51	1055	547.5	11254.2	33100	1	63.5	1	159.86	365	4.98	2	354	412.31	NA	0.01	NA	679.37	NA	1	3	44.82	NA	NA	50803439.7	83.27	11.48	47.38	179.65	-171.84	3.9	0	37.87	0.04	34.79	4.82	313.33	561.11
Artiodactyla	Bovidae	Bos_frontalis	800143.05	2700	NA	NA	NA	3	273.75	NA	NA	403.02	1.22	1	314.4	22977.05	NA	0.54	NA	610.97	40	NA	1	186.67	NA	NA	2294331.63	28.01	2.86	15.43	108.68	73.55	91.12	1	152.67	0.09	145.21	229.71	1053.45	1483.02
Artiodactyla	Bovidae	Bos_grunniens	500000	NA	NA	NA	NA	2	273.75	NA	NA	NA	1	1	267	NA	NA	NA	NA	755.15	110	NA	1	243.33	NA	NA	1523540.07	38.88	29.66	34.27	99.23	75.91	87.57	0	2.03	0.05	30.41	-59.31	246.2	732.74
Artiodactyla	Bovidae	Bos_javanicus	635974.34	2075	912.5	NA	NA	2	296.78	1	NA	NA	1.22	1	318.96	NA	NA	0.75	21	797.31	40	1	1	287.74	NA	NA	1687920.66	25.08	-8.78	8.15	118.35	94.94	106.64	1	139.21	0.11	187.69	239.18	1301.28	1592.26
Primates	Pitheciidae	Callicebus_cupreus	1117.02	354.99	NA	NA	NA	NA	129.25	1	NA	395.41	1.01	NA	NA	73.6	NA	4.89	NA	NA	2.05	2	NA	201.85	NA	NA	690923.14	-2.5	-10.67	-6.58	-61.59	-74.92	-68.25	0	1.07	0.05	196.01	255.36	1529.55	1573.18
Primates	Pitheciidae	Callicebus_discolor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Primates	Pitheciidae	Callicebus_donacophilus	897.67	NA	NA	NA	NA	NA	NA	1	NA	NA	1.02	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	288759.02	-10.45	-21.29	-15.87	-57.52	-67.21	-62.37	0	3.63	0.17	108.93	244.32	1238.19	1469.11
Primates	Pitheciidae	Callicebus_dubius	992.4	NA	NA	NA	NA	NA	NA	1	NA	NA	1.02	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Primates	Pitheciidae	Callicebus_hoffmannsi	1067.61	NA	NA	NA	NA	NA	NA	1	NA	NA	1.02	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	98076.46	-1.95	-6	-3.97	-54.87	-59.21	-57.04	0	2.6	0.1	158.41	258.18	1417.63	1610.4
Primates	Pitheciidae	Callicebus_lucifer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Primates	Pitheciidae	Callicebus_lugens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Primates	Pitheciidae	Callicebus_medemi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36587.57	0.95	-1.66	-0.35	-74.42	-76.71	-75.56	1	5.6	0.15	152.17	292.08	1435.56	1446.17
Primates	Pitheciidae	Callicebus_melanochir	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60497.71	-12.83	-18.16	-15.5	-38.72	-40.46	-39.59	7	46.93	0.08	137.48	232.78	1460.59	1650.42
Primates	Pitheciidae	Callicebus_modestus	992.4	NA	NA	NA	NA	NA	NA	1	NA	NA	1.02	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	17288.42	-14.25	-15.67	-14.96	-65.93	-67.39	-66.66	1	2.76	0.47	119.01	225.42	1432.14	1548.82
Didelphimorphia	Didelphidae	Caluromys_derbianus	326.72	231	NA	215.11	344	3	NA	1	NA	NA	3.14	NA	60	NA	NA	11.86	NA	251.71	1	2	2	NA	NA	NA	678553.48	20.73	-2.92	8.9	-76.63	-98.33	-87.48	2	53.45	0.14	189.71	234.61	1341.7	1596.59
Didelphimorphia	Didelphidae	Caluromys_lanatus	350.33	273.3	NA	NA	NA	4	NA	2	NA	NA	NA	NA	60	NA	NA	NA	NA	NA	1	2	2	NA	NA	NA	3683731.12	9.07	-28.1	-9.51	-53.2	-77.39	-65.29	0	5.36	0.13	175.31	245.59	1392.87	1501.45
Didelphimorphia	Didelphidae	Caluromys_philander	246.47	224.27	334.58	NA	NA	4	23.99	2	9.96E-03	166.5	4.18	2	76	0.2	10	62.32	NA	314.52	1	2	2	119.65	23	NA	3212264.13	12.2	-24.58	-6.19	-40.35	-72.87	-56.61	0	39.68	0.12	144.03	239.14	1356.51	1583.7
Didelphimorphia	Didelphidae	Caluromysiops_irrupta	257.48	234.52	NA	NA	NA	3	NA	1	NA	NA	2	NA	94	NA	NA	8.85	NA	NA	1	2	2	NA	NA	NA	188864.44	-9.34	-12.69	-11.01	-61.99	-73.48	-67.73	0	3.51	0.27	189.96	246.03	1362.63	1563.51
Cingulata	Dasypodidae	Calyptophractus_retusus	129.99	157.5	NA	NA	NA	4	NA	2	NA	NA	NA	NA	144	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	1081453.8	-12.69	-29.92	-21.3	-56.47	-65.76	-61.11	0	4.33	0.12	87.68	228.45	1016.9	1327.63
Artiodactyla	Camelidae	Camelus_bactrianus	554515.91	NA	1460	NA	NA	2	397.99	1	NA	730	1.39	1	480	34346.64	NA	0.06	NA	1330.6	6.2	1	1	368.13	NA	NA	188693	44.71	37.98	41.34	97.58	90.75	94.17	0	1.83	0.01	9.94	53.72	66.85	612.43
Artiodactyla	Bovidae	Bos_sauveli	791321.76	2175	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	755.15	20	1	1	NA	NA	NA	115557.18	15.48	12.04	13.76	107.85	102.98	105.42	2	36.95	0.12	170.36	251.45	1144.18	1581.73
Artiodactyla	Bovidae	Bos_taurus	618642.42	NA	NA	NA	NA	NA	280.48	NA	10.04	NA	NA	1	240	NA	NA	NA	NA	755.15	NA	NA	NA	NA	NA	NA	44447.62	15.08	11.85	13.46	108.99	107.08	108.04	2	42.48	0.15	174.94	228.73	1193.98	1450.23
Artiodactyla	Bovidae	Boselaphus_tragocamelus	182253.04	2000	912.5	NA	NA	5	248.49	NA	NA	400.5	1.39	NA	260.4	5875	NA	2.39	NA	NA	NA	NA	1	NA	NA	NA	2192564.81	33	11.71	22.35	87.08	68.93	78	2	313.3	0.09	86.66	247.4	750.64	1450.38
Rodentia	Muridae	Brachiones_przewalskii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	940177.9	42.86	35.46	39.16	102.85	77.15	90	0	5.36	0.05	17.27	68.34	79.67	681.81
Carnivora	Canidae	Canis_mesomelas	8247.3	707.27	NA	NA	NA	6	62.5	1	11.93	273.75	3.89	NA	168	177.2	NA	0.74	NA	241.4	NA	1	2	34.1	NA	NA	6248779.95	16.47	-34.83	-9.18	51.41	11.71	31.56	0	30.81	0.11	49.27	213.33	661.36	1468.1
Carnivora	Canidae	Canis_simensis	14361.86	938.19	NA	NA	NA	1	63.61	1	4.2	365	NA	NA	NA	NA	NA	1.2	NA	754.74	NA	1	3	69.6	NA	NA	11402.81	13.31	6.55	9.93	39.96	38.02	38.99	30	99.87	0.15	83.87	99.03	931.35	1471.36
Rodentia	Spalacidae	Cannomys_badius	472.07	NA	NA	172	344	NA	41.49	NA	NA	NA	2	NA	48	NA	NA	NA	NA	NA	NA	NA	NA	50.1	NA	NA	818286	27.85	11.82	19.83	105.88	84.65	95.26	4	86.5	0.07	159.67	213.64	1063.45	1473.54
Rodentia	Cricetidae	Cansumys_canus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	267130.76	35.6	31.09	33.34	115.62	102.25	108.94	4	218.11	0.06	58.53	103.16	742.53	877.6
Cetacea	Neobalaenidae	Caperea_marginata	31999999.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Artiodactyla	Bovidae	Capra_caucasica	58149.52	NA	NA	NA	NA	NA	155	NA	NA	NA	1.09	NA	264	NA	NA	NA	NA	1015	NA	NA	NA	NA	NA	NA	32781.87	43.82	40.83	42.33	48.52	40	44.26	9	40.22	0.02	57.31	-9.89	612.18	710.43
Artiodactyla	Bovidae	Capra_falconeri	54303.37	1590	730	NA	NA	2	167.98	1	NA	NA	1.73	NA	168	NA	NA	NA	11	1015	NA	1	1	167.29	NA	NA	155075.85	38.9	28.84	33.87	75.48	65.04	70.26	4	88.36	0.16	22.18	108.54	340.32	1154.28
Artiodactyla	Bovidae	Capra_hircus	47386.47	NA	669.16	NA	NA	2	156	NA	98.3	365	1.45	NA	249.6	2136.11	375.56	7.58	NA	498.97	NA	NA	1	158.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Artiodactyla	Bovidae	Capra_ibex	69546.83	NA	912.5	NA	NA	2	167.5	1	NA	547.5	1.11	NA	267.6	2779.07	NA	NA	NA	838.54	NA	1	1	111.75	15683.39	NA	145098.13	47.9	43.76	45.83	15.5	4.76	10.13	12	135.27	0.03	87.78	42.76	586.2	627.49
Erinaceomorpha	Erinaceidae	Atelerix_algirus	903.98	214.76	NA	NA	NA	3	39.25	NA	NA	NA	2.5	2	84	NA	NA	NA	NA	NA	NA	NA	2	39.7	NA	NA	815329.89	37.34	30.13	33.74	21.77	-9.89	5.94	1	95.57	0.11	26.26	167.59	327.17	1147.59
Erinaceomorpha	Erinaceidae	Atelerix_frontalis	329.12	181.82	NA	NA	NA	6	37.13	1	NA	NA	4.99	1.5	NA	10.55	52.6	NA	NA	411.43	1	1	2	34.8	NA	NA	1497998.13	-12.43	-33.62	-23.03	31.09	11.76	21.42	0	16.7	0.1	42.24	186.9	578.5	1322.65
Erinaceomorpha	Erinaceidae	Atelerix_sclateri	NA	129.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	198274.28	11.98	6.32	9.15	51.41	45.44	48.42	1	5.95	0.04	12.2	245.23	155.21	1766.15
Primates	Atelidae	Ateles_belzebuth	6692.42	459.3	NA	NA	NA	2	138.2	1	2.28	NA	1.02	NA	336	NA	NA	13.49	NA	NA	14.5	2	1	NA	NA	NA	1030364.23	4.08	-4.98	-0.44	-60.12	-78.54	-69.33	0	2.79	0.11	227.01	257.68	1493.34	1512.96
Primates	Atelidae	Ateles_chamek	7053.92	454.28	NA	NA	NA	2	NA	1	1.16	NA	NA	NA	NA	NA	NA	3.39	NA	NA	NA	2	1	NA	NA	NA	990902.31	-2.58	-11.43	-7.01	-62.25	-77.21	-69.73	0	1.62	0.1	194.51	254.97	1504.72	1569.06
Primates	Atelidae	Ateles_fusciceps	9067.94	489.15	1773.9	NA	NA	2	224.7	1	NA	851.66	1.01	NA	288	499.99	NA	NA	NA	1799.68	NA	2	1	482.7	NA	NA	201579.73	11.11	1.77	6.44	-73.92	-79.12	-76.52	3	85.93	0.11	220.34	240.81	1483.74	1654.37
Primates	Atelidae	Ateles_geoffroyi	7582.4	433.07	2080.5	NA	NA	2	226.37	1	0.73	1048.15	1.01	NA	327.6	425.85	NA	19.06	NA	2104.57	42	2	1	816.35	3478.06	NA	806609.19	24.09	0.67	12.38	-70.23	-98.85	-84.54	2	55.14	0.14	153.93	243.16	1344.08	1624.94
Primates	Atelidae	Ateles_hybridus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	144643.82	11.35	6.26	8.8	-66.36	-75.27	-70.82	1	54	0.13	114.72	255.57	1343.77	1685.22
Primates	Atelidae	Ateles_marginatus	6229.28	460.27	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	831855.4	-0.54	-8.84	-4.69	-47.7	-64.33	-56.01	0	4.83	0.11	169.03	252.71	1421.4	1592.48
Primates	Atelidae	Ateles_paniscus	8697.25	575.96	1825	NA	NA	6	228.18	1	1.36	1072.18	1	NA	453.6	478.64	NA	8	NA	2104.57	20	2	2	805.41	2753.17	NA	892635.1	7.28	-3.14	2.06	-50.44	-61.85	-56.14	0	3.25	0.08	157.69	255.77	1456.6	1696.86
Primates	Pitheciidae	Callicebus_moloch	958.13	358.65	1095	NA	NA	3	164	1	0.02	365	1.01	NA	303.6	74.4	125	18.43	NA	1262.74	2.95	2	2	58.85	NA	NA	911442.78	-1.3	-14.1	-7.7	-48.19	-58.29	-53.24	0	2.4	0.13	174.03	246.08	1330.45	1530.29
Primates	Pitheciidae	Callicebus_nigrifrons	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	513267.9	-16.37	-24.44	-20.4	-41.86	-51.33	-46.6	3	136.21	0.05	128.2	203.7	1160.18	1370.31
Primates	Pitheciidae	Callicebus_oenanthe	992.4	NA	NA	NA	NA	NA	NA	1	NA	NA	1.02	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	5807.21	-5.16	-5.98	-5.57	-76.96	-77.67	-77.31	2	8.33	0.06	139.67	220.5	1287.01	1394.99
Primates	Pitheciidae	Callicebus_olallae	992.4	NA	NA	NA	NA	NA	NA	1	NA	NA	1.02	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	17288.42	-14.25	-15.67	-14.96	-65.93	-67.39	-66.66	1	2.76	0.47	119.01	225.42	1432.14	1548.82
Primates	Pitheciidae	Callicebus_ornatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23066.97	4.38	2.18	3.28	-73.68	-74.77	-74.23	1	104.04	0.12	130.8	209.3	1484.71	1507.5
Primates	Pitheciidae	Callicebus_pallescens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93328.33	-16.39	-21.29	-18.84	-57.52	-61.25	-59.39	0	0.63	0.1	86.34	258.42	1071.44	1315.57
Primates	Pitheciidae	Callicebus_personatus	1390.8	362.49	NA	NA	NA	4	NA	1	0.03	NA	1.01	NA	NA	NA	NA	13.03	NA	NA	2.35	2	1	NA	NA	NA	172664.46	-16.02	-22.48	-19.25	-39.58	-43.08	-41.33	7	47.74	0.06	107.39	212.34	1204.53	1458.54
Primates	Pitheciidae	Callicebus_purinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Primates	Pitheciidae	Callicebus_regulus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Primates	Pitheciidae	Callicebus_stephennashi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Primates	Pitheciidae	Callicebus_torquatus	1209.57	294.99	NA	NA	NA	4	NA	1	0.11	NA	1.01	NA	NA	NA	NA	10.2	NA	1683.65	3.85	2	2	121.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Primates	Cebidae	Callimico_goeldii	558	280	491.83	NA	NA	2	153.99	1	0.32	182.5	1.05	NA	214.8	50.5	NA	2.08	NA	413.84	6.85	2	2	66.53	120.02	NA	462922.05	0.97	-11.64	-5.33	-67.04	-77.15	-72.1	0	3	0.11	209.19	259.78	1476.2	1518.11
Rodentia	Echimyidae	Callistomys_pictus	518.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37773.91	-11.33	-13.77	-12.55	-37.36	-39.75	-38.55	17	211.59	0.08	123.66	239.11	1250.37	1682.91
Primates	Cebidae	Callithrix_acariensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79622.42	-8.06	-11.18	-9.62	-61.58	-65.11	-63.34	1	7.5	0.43	178.99	246.16	1329.16	1576.85
Primates	Cebidae	Callithrix_argentata	382.92	NA	609.55	NA	NA	4	NA	1	NA	219.6	1.84	NA	201.6	35.8	NA	7.52	NA	701.52	9.5	2	2	NA	NA	NA	123514	-1.09	-5.09	-3.09	-49.38	-55.24	-52.31	1	3.87	0.13	171.85	254.42	1412.78	1614.39
Primates	Cebidae	Callithrix_aurita	386.2	239.99	NA	NA	NA	3	140	1	0.08	NA	2	NA	NA	NA	NA	NA	NA	NA	6	2	2	NA	NA	NA	87653.49	-21.66	-24.65	-23.15	-40.97	-49.07	-45.02	14	398.77	0.06	148.06	188.19	1243.75	1379.49
Primates	Cebidae	Callithrix_chrysoleuca	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60733.28	-3.51	-8.03	-5.77	-58.34	-60.52	-59.43	0	0.44	0.14	170.99	258.62	1453.35	1598.79
Primates	Cebidae	Callithrix_emiliae	309.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	160568.97	-5.54	-13.49	-9.52	-53.34	-56.05	-54.7	0	1.68	0.17	193.59	249.26	1291.21	1525.99
Primates	Cebidae	Callithrix_flaviceps	372.97	239.99	NA	NA	NA	3	140	1	0.22	NA	2	NA	NA	NA	NA	11.85	NA	NA	9.8	2	2	NA	NA	NA	27330.89	-20.39	-21.92	-21.16	-40.81	-43.12	-41.96	36	56.38	0.05	111.78	200.81	1193.67	1398.92
Primates	Cebidae	Callithrix_geoffroyi	342	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	132745.3	-16.9	-21.07	-18.99	-39.13	-43.62	-41.38	11	47.67	0.06	108.43	216.05	1237.94	1455.44
Primates	Cebidae	Callithrix_humeralifera	374.99	NA	NA	NA	NA	4	NA	1	0.1	NA	NA	NA	180	34.5	NA	28.32	NA	NA	8.5	2	2	99.01	NA	NA	129628	-2.27	-8.45	-5.36	-55.4	-60.5	-57.95	0	1.68	0.12	163.67	258.66	1433.66	1605.81
Primates	Cebidae	Callithrix_humilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21239.49	-5.25	-7.65	-6.45	-60.13	-61.49	-60.81	0	0.6	0	172.58	260.07	1483.92	1601.22
Primates	Cebidae	Callithrix_intermedia	NA	NA	NA	NA	NA	NA	NA	NA	0.19	NA	2	NA	NA	NA	NA	19.97	NA	NA	11.5	NA	NA	NA	NA	NA	73178.5	-4.13	-11.95	-8.04	-59.01	-60.88	-59.95	0	0.39	0.53	179.43	249.52	1334.37	1536.27
Primates	Cebidae	Callithrix_jacchus	290.21	NA	555.1	152	190	5	144	1	0.02	159.8	2.31	NA	201.6	27.74	NA	508.18	NA	455.99	8.55	2	2	60.24	96.82	NA	604264.4	-2.78	-10.38	-6.58	-34.79	-45.78	-40.28	1	61.47	0.06	99.39	249.92	912.68	1488.61
Primates	Cebidae	Callithrix_kuhlii	374.99	NA	NA	NA	NA	4	NA	1	0.06	NA	NA	NA	NA	NA	NA	59	NA	NA	NA	2	2	NA	NA	NA	34583.88	-14.4	-16.84	-15.62	-38.85	-40.32	-39.59	7	32.31	0.08	149.75	229.94	1475.45	1613.32
Primates	Cebidae	Callithrix_leucippe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14616.07	-3.85	-5.41	-4.63	-55.11	-56.36	-55.73	1	1.5	0.16	171.99	251.2	1381.69	1571.6
Primates	Cebidae	Callithrix_manicorensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18875.99	-5.31	-7.64	-6.48	-60.2	-61.51	-60.85	0	0.6	0	171.12	260.53	1488.51	1603.28
Primates	Cebidae	Callithrix_marcai	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44500.24	-7.83	-12.06	-9.95	-59.48	-60.83	-60.16	0	0.77	0.64	183.11	243.87	1244.72	1492.05
Primates	Cebidae	Callithrix_mauesi	443.79	NA	NA	NA	NA	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	2038.88	-2.95	-3.45	-3.2	-56.56	-57.05	-56.81	3	5.75	0.14	143.49	261	1431.24	1643.5
Primates	Cebidae	Callithrix_melanura	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	543620.62	-8.59	-19.88	-14.23	-53.2	-65.04	-59.12	0	4.24	0.22	126.64	243.35	1166.8	1423.6
Primates	Cebidae	Callithrix_nigriceps	401.12	NA	NA	NA	NA	4	NA	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	24958.88	-6.18	-8.8	-7.49	-61.41	-62.77	-62.09	0	1.33	0.12	181.98	256.61	1417.38	1586.97
Primates	Cebidae	Callithrix_penicillata	339.98	NA	NA	NA	NA	NA	NA	1	0.01	NA	2	NA	NA	NA	NA	NA	NA	NA	5.9	2	NA	NA	NA	NA	1325473.3	-2.32	-23.03	-12.68	-40.15	-52.33	-46.24	1	23.65	0.07	117.22	219.92	1084.95	1442.42
Primates	Cebidae	Callithrix_pygmaea	123.94	154.6	840.41	113.99	116.9	3	134.44	1	2.12E-03	182.5	1.93	NA	181.2	14.5	NA	15.9	NA	708.5	6	2	2	90.73	70	NA	1508925.87	0.59	-12.52	-5.96	-61.36	-78.52	-69.94	0	2.19	0.1	208.53	256.47	1483.18	1526.07
Primates	Cebidae	Callithrix_saterei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18742.81	-3.94	-6.34	-5.14	-58.04	-59.64	-58.84	0	0.75	0.16	164.67	260.68	1454.2	1609.58
Carnivora	Otariidae	Callorhinus_ursinus	55464.82	1734.82	NA	NA	NA	6	358.49	2	NA	365	1.04	0.5	420	5354.8	NA	18	NA	1683.65	NA	1	2	108.69	11231.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rodentia	Sciuridae	Callosciurus_adamsi	208.72	203.5	NA	NA	NA	6	NA	1	NA	NA	1.94	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	30384.46	5.47	2.22	3.84	117.88	113.3	115.59	1	9.09	0.16	287.63	235.52	1719.17	1747.03
Rodentia	Sciuridae	Callosciurus_albescens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	432350.65	5.65	-5.94	-0.14	106.08	95.18	100.63	20	92.24	0.14	229.28	252.45	1697.6	1774.17
Rodentia	Sciuridae	Callosciurus_baluensis	323.91	203.5	NA	NA	NA	6	NA	1	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	20853.19	6.26	3.48	4.87	117.07	114.56	115.82	3	18.16	0.26	271.96	226.05	1790.43	1858.35
Rodentia	Sciuridae	Callosciurus_caniceps	264.91	211.08	NA	NA	NA	NA	NA	1	0.01	NA	2.19	NA	114	NA	NA	18.6	NA	NA	NA	2	NA	NA	NA	NA	420861.69	20.24	2.65	11.44	103.04	97.69	100.36	3	112.44	0.08	183.7	249.01	1283.38	1697.82
Rodentia	Sciuridae	Callosciurus_erythraeus	283.23	211.93	NA	NA	NA	3	NA	1	8.95E-03	NA	1.94	2	193.2	NA	NA	622.69	NA	NA	NA	2	1	NA	NA	NA	2354368.13	31.76	6.6	19.18	122.13	88.61	105.37	1	206.18	0.08	142.62	188.9	1101.79	1352.84
Rodentia	Sciuridae	Callosciurus_finlaysonii	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	723854.08	20.23	8.55	14.39	108.18	97.26	102.72	2	114.64	0.1	161.37	250.25	1131.43	1592.3
